Comic Title,Publication Year,Cover URL
Thor (1966) #416,1990,http://i.annihil.us/u/prod/marvel/i/mg/9/d0/51488f3a7deb6.jpg
Avengers (1963) #316,1990,http://i.annihil.us/u/prod/marvel/i/mg/e/03/588b8142d6823.jpg
Thor (1966) #415,1990,http://i.annihil.us/u/prod/marvel/i/mg/9/10/51488702caebb.jpg
Avengers (1963) #315,1990,http://i.annihil.us/u/prod/marvel/i/mg/a/a0/588b797ddae58.jpg
Fantastic Four (1961) #338,1990,http://i.annihil.us/u/prod/marvel/i/mg/2/d0/5ac646713130d.jpg
Thor (1966) #370,1986,http://i.annihil.us/u/prod/marvel/i/mg/a/20/4f6349f7b1e7e.jpg
Thor (1966) #369,1986,http://i.annihil.us/u/prod/marvel/i/mg/9/40/4bc3350e93ee4.jpg
Thor (1966) #368,1986,http://i.annihil.us/u/prod/marvel/i/mg/6/40/4bc46ec222819.jpg
Balder the Brave (1985) #4,1986,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4bb6e047238bc.jpg
Thor (1966) #367,1986,http://i.annihil.us/u/prod/marvel/i/mg/9/70/59f73bda0f263.jpg
Thor (1966) #366,1986,http://i.annihil.us/u/prod/marvel/i/mg/9/d0/59f38dd14cb56.jpg
New Mutants (1983) #38,1986,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5a04796028da7.jpg
Balder the Brave (1985) #3,1986,http://i.annihil.us/u/prod/marvel/i/mg/9/30/4bb6e04c9b382.jpg
Thor (1966) #365,1986,http://i.annihil.us/u/prod/marvel/i/mg/9/20/59f0eb43d34a3.jpg
